                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                   1.31,                 4.9421,                 1.8628,                    1.5,                0.47891,                 0.6875,                 0.5603,                0.29045,                0.32062,                0.33333,                0.30203,                0.09463,                0.96149,                      0,                 3.9825,                0.90312,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4457,                 4.1871,                 1.9707,                 1.6107,                0.28607,                0.39583,                0.29384,                0.12337,                0.04052,                 0.0625,                 0.0185,                0.00367,                 1.2803,                      0,                 4.3499,                 1.1702,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4117,                 4.2343,                  1.963,                 1.5752,                0.13425,                  0.375,                0.12872,                0.06067,                0.10003,                0.29167,                0.06595,                 0.0126,                 1.4637,                      0,                 4.8596,                 1.1131,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4167,                  4.679,                  1.957,                  1.565,                0.05355,                0.52083,                0.05834,                 0.0237,                      0,                      0,                      0,                      0,                 1.8596,                      0,                 5.0167,                 1.4143,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6129,                 5.2538,                 2.1282,                 1.7355,                0.17262,                0.64583,                0.18578,                0.07489,                0.01374,                0.04167,                0.00456,                0.00069,                 1.5098,                      0,                 4.2655,                 1.2081,               0.000713,               0.000713,               0.000713
                     67,                 1.5237,                 4.7434,                 2.0218,                 1.6507,                0.29678,                0.70833,                0.40617,                0.19598,                0.11701,                0.16667,                0.10472,                0.01897,                 1.3649,                      0,                 4.0524,                 1.0687,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4417,                 4.4137,                 1.9812,                 1.5878,                0.44116,                0.72917,                0.51748,                0.30495,                0.15584,                 0.1875,                0.07648,                0.01762,                 1.1241,                      0,                 3.7092,                0.93891,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5045,                 5.3252,                 2.0707,                 1.6529,                0.41409,                 0.6332,                0.47001,                0.28532,                0.15025,                0.27083,                0.06938,                0.01058,                  1.071,                      0,                  3.599,                0.90415,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3706,                 4.5344,                  1.966,                 1.5532,                0.45773,                0.85417,                 0.5712,                 0.3446,                0.28044,                 0.5625,                0.30527,                0.05072,                0.98309,                      0,                 3.3903,                0.86442,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2765,                 4.1177,                 1.8691,                  1.474,                0.66012,                0.91667,                0.86037,                 0.5098,                0.31209,                 0.5625,                0.40779,                0.07501,                 1.1465,                      0,                 3.4133,                0.95387,               0.000614,               0.000614,               0.000614
                     72,                 1.3515,                 4.2624,                 1.9287,                 1.5228,                0.19867,                0.95833,                0.25628,                0.11133,                0.10437,                0.54167,                0.07959,                0.01459,                 1.4235,                      0,                 4.1614,                 1.1702,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4011,                 4.2977,                 1.9631,                 1.5595,                0.20788,                 0.6875,                 0.2316,                0.12221,                  0.089,                 0.3125,                0.04657,                0.01047,                 1.2762,                      0,                 4.0833,                 1.0767,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3834,                 4.1539,                 1.9626,                 1.5481,                0.28198,                0.89583,                0.35003,                0.17369,                0.18817,                0.33333,                0.14478,                0.02823,                 1.2497,                      0,                 3.8523,                  1.042,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.289,                 3.8562,                 1.8132,                 1.4572,                0.50754,                  0.875,                0.62929,                 0.3548,                0.43099,                0.66667,                0.41032,                0.09785,                 1.0937,                      0,                 3.5746,                0.97061,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2358,                 3.8287,                 1.7876,                 1.4499,                0.43488,                 0.8658,                0.53645,                0.28238,                0.20461,                0.54167,                0.13753,                0.03444,                0.96865,                      0,                 3.4413,                0.91335,               0.000515,               0.000515,               0.000515
                     77,                 1.1599,                 4.1323,                 1.7507,                 1.3793,                0.44355,                0.84699,                  0.479,                0.27327,                0.16689,                0.41667,                0.11599,                0.01955,                 0.9588,                      0,                 3.2678,                0.91129,              0.0004952,              0.0004952,              0.0004952
